Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,435.0,1486294.39,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,345.0,1219679.61,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,47.0,1126781.68,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,346.0,284014.04,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,323.0,239990.68,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,214.0,40794.38,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,315.0,16308469.84,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,86.0,1.0,14515381.11,AFHI11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,35.0,1.0,14143184.94,AFHI11,2023
REIT SECURITIZADORA S.A.,13.349.677/0001-81,2.0,22.0,13460683.6,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,380.0,12450930.22,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,317.0,11623820.03,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,371.0,11551321.0,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,279.0,10585572.09,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,316.0,10385995.78,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,478.0,9864447.24,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,39.0,4.0,9376581.79,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,277.0,9056819.71,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,85.0,1.0,8927376.07,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,157.0,1.0,8907268.36,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,238.0,8720606.11,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,256.0,1.0,7913667.63,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,484.0,7292084.68,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,65.0,3.0,6820102.34,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,178.0,1.0,6684174.55,AFHI11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1.0,249.0,6436748.22,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,84.0,1.0,6022931.52,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,163.0,1.0,5916606.56,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,38.0,1.0,5189216.06,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,24.0,3.0,5136755.55,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,204.0,2.0,5060929.95,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,200.0,1.0,5058423.4,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,22.0,1.0,5030352.5,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,216.0,4972312.99,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,55.0,1.0,4972112.89,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,27.0,1.0,4956300.44,AFHI11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,43.0,1.0,4878749.49,AFHI11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1.0,203.0,4662664.2,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,151.0,1.0,4397739.68,AFHI11,2023
COMPANHIA PROVINCIA DE SECURITIZACAO DE CREDITOS I,04.200.649/0001-07,20.0,1.0,4184284.01,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,296.0,4060163.71,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,13.0,2.0,3931932.76,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,219.0,3454837.67,AFHI11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,109.0,1.0,3401696.76,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,13.0,1.0,3254918.32,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,432.0,2986336.8,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,431.0,2385734.93,AFHI11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1.0,214.0,2215731.31,AFHI11,2023
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,27.0,1.0,2177522.98,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,435.0,2093825.19,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,345.0,1312014.2,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,47.0,1193125.52,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,323.0,461427.46,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,346.0,303804.87,AFHI11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,214.0,42506.86,AFHI11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,315.0,15478732.48,AFHI11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,,1.0,15095636.39,AFHI11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,,1.0,15020604.89,AFHI11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,,380.0,14069369.7,AFHI11,2022
REIT SECURITIZADORA S.A.,13.349.677/0001-81,,22.0,14060805.52,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,249.0,13090796.38,AFHI11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,,371.0,12255084.59,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,317.0,11480157.82,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,238.0,11361875.01,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,248.0,11058875.64,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,279.0,10454742.5,AFHI11,2022
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,,2.0,10312116.44,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,316.0,10257632.19,AFHI11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,,478.0,9776478.93,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,277.0,9228411.45,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,1.0,8781098.96,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,1.0,8478527.06,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,402.0,7388024.77,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,3.0,7116301.16,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,1.0,5930667.36,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,484.0,5904306.29,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,432.0,5030847.31,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,219.0,4806798.15,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,203.0,4633256.16,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,168.0,4424952.36,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,431.0,4024677.85,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,214.0,4017590.41,AFHI11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,,296.0,4010037.89,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,76.0,3704622.49,AFHI11,2022
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,,1.0,3086662.62,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,435.0,3076663.45,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,226.0,2799065.28,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,225.0,2799065.28,AFHI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,,227.0,2797798.76,AFHI11,2022
COMPANHIA PROVINCIA DE SECURITIZACAO DE CREDITOS I,04.200.649/0001-07,,1.0,2104542.25,AFHI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,,47.0,1866319.88,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,345.0,1318023.3,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,323.0,1167046.17,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,346.0,290812.93,AFHI11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,,214.0,42891.19,AFHI11,2022
TRUE SECURITIZADORA - CRA0240038P,12.130.744/0001-00,90.0,1.0,20955464.22,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA024004MW,48.415.978/0001-40,6.0,1.0,14810899.53,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA02300VY2,41.811.375/0001-19,74.0,1.0,13024398.03,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA024004BL,48.415.978/0001-40,5.0,1.0,10916852.68,AGRX11,2024
TRUE SECURITIZADORA - CRA02300E1L,12.130.744/0001-00,63.0,1.0,7701552.64,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300V69,48.415.978/0001-40,2.0,1.0,6887832.17,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA024001JP,48.415.978/0001-40,4.0,1.0,6880611.96,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300V69,48.415.978/0001-40,2.0,1.0,6593653.77,AGRX11,2024
TRUE SECURITIZADORA - CRA02300A16,12.130.744/0001-00,60.0,1.0,6046414.41,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300PRU,48.415.978/0001-40,1.0,1.0,5875545.14,AGRX11,2024
TRUE SECURITIZADORA - CRA02300A16,12.130.744/0001-00,60.0,1.0,5257751.66,AGRX11,2024
VERT COMPANHIA SECURITIZADORA - CRA02200CT5,25.005.683/0001-09,81.0,1.0,4831416.28,AGRX11,2024
VERT COMPANHIA SECURITIZADORA - CRA022009KI,25.005.683/0001-09,79.0,1.0,4352090.03,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA022006BW,41.811.375/0001-19,3.0,2.0,4148532.92,AGRX11,2024
VERT COMPANHIA SECURITIZADORA - CRA022009KI,25.005.683/0001-09,79.0,1.0,3904970.87,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300V69,48.415.978/0001-40,2.0,1.0,3783742.85,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA022006BV,41.811.375/0001-19,3.0,1.0,3093014.96,AGRX11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO - CRA02300BQD,08.769.451/0001-08,171.0,1.0,3037168.78,AGRX11,2024
TRUE SECURITIZADORA - CRA02300E1L,12.130.744/0001-00,63.0,1.0,2864977.58,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA022006BV,41.811.375/0001-19,3.0,1.0,2761315.27,AGRX11,2024
VERT COMPANHIA SECURITIZADORA - CRA02200CT5,25.005.683/0001-09,81.0,1.0,2589156.49,AGRX11,2024
COMPANHIA PROVINCIA DE SECURITIZAÇÃO - CRA021002YC,04.200.649/0001-07,1.0,1.0,2206292.14,AGRX11,2024
COMPANHIA PROVINCIA DE SECURITIZAÇÃO - CRA022003UX,04.200.649/0001-07,3.0,1.0,2033031.5,AGRX11,2024
VERT COMPANHIA SECURITIZADORA - CRA022009KI,25.005.683/0001-09,79.0,1.0,1505366.27,AGRX11,2024
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300PRU,48.415.978/0001-40,1.0,1.0,1433292.85,AGRX11,2024
TRUE SECURITIZADORA - CRA02300E1L,12.130.744/0001-00,63.0,1.0,1288996.71,AGRX11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO - CRA021000SB,08.769.451/0001-08,38.0,1.0,1240294.61,AGRX11,2024
OPEA SECURITIZADORA - CRA02300CNN,02.773.542/0001-22,76.0,1.0,1010293.41,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA02300VY2,41.811.375/0001-19,74.0,1.0,1001876.77,AGRX11,2024
ECO SECURITIZADORA DE DC DO AGRONEGÓCIO - CRA02300CI2,10.753.164/0001-43,259.0,2.0,998689.35,AGRX11,2024
TRUE SECURITIZADORA - CRA02300E1L,12.130.744/0001-00,63.0,1.0,737727.67,AGRX11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO - CRA021000SB,08.769.451/0001-08,38.0,1.0,687016.96,AGRX11,2024
TRUE SECURITIZADORA - CRA02300A16,12.130.744/0001-00,60.0,1.0,525775.17,AGRX11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO - CRA021000SB,08.769.451/0001-08,38.0,1.0,486408.01,AGRX11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO - CRA021000SB,08.769.451/0001-08,38.0,1.0,458011.3,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA022006BW,41.811.375/0001-19,3.0,2.0,164117.67,AGRX11,2024
COMPANHIA PROVINCIA DE SECURITIZAÇÃO - CRA021002YC,04.200.649/0001-07,1.0,1.0,19511.43,AGRX11,2024
