Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Área (m²)
Clariant,"29.463,00 m2","Avenida das Nações Unidas, 18001 - São Paulo",1.0,0.0,0.0,0.0,ALZR11,2020,29463.0
Decathlon,"8.792,14 m2","Avenida Duquesa de Goiás, 381 - Real Parque - São Paulo",1.0,0.0,0.0,0.0,ALZR11,2020,8792.14
Globo,"3.815,52 m2","Rua Pacheco Leão, 70 - Jardim Botânico, Rio de Janeiro",1.0,0.0,0.0,0.0,ALZR11,2020,3815.52
Galpão Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara 3.203 e 3.229, Rio de Janeiro, RJ, 20973-011",1.0,0.0,0.0,0.27949999999999997,ALZR11,2019,8178.0
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1.0,0.0,0.0,0.22149999999999997,ALZR11,2019,5008.0
Galpão Aptiv,"18.590,77 m2","Rua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1.0,0.0,0.0,0.2182,ALZR11,2019,18590.77
Galpão Momentum,"4.517,00 m2","Rua Arapore 655, São Paulo, SP, 05608-001",1.0,0.0,0.0,0.0913,ALZR11,2019,4517.0
Galpão BRU,"3.627,49 m2","Avenida Nações Unidas 51-15, Bauru, SP, 17033-260",1.0,0.0,0.0,0.0797,ALZR11,2019,3627.49
Galpão GRU,"3.763,42 m2","Rua Barão de Penedo 248, P1, P13 e P14, Guarulhos, SP, 07222-015",1.0,0.0,0.0,0.0711,ALZR11,2019,3763.42
Galpão Ed. Moderna,"9.260,00 m2","Rua Padre Adelino 758, São Paulo, SP, 03303-000",1.0,0.0,0.0,0.0388,ALZR11,2019,9260.0
Atento Rio de Janeiro/RJ,"8.178,00 m2","Avenida Dom Hélder Câmara 3.203 e 3.229, Rio de Janeiro, RJ",1.0,0.0,0.0,0.5576,ALZR11,2018,8178.0
Air Liquide São Paulo/SP,"5.008,00 m2","Av. Presidente Wilson 5.874 , São Paulo, SP",1.0,0.0,0.0,0.4424,ALZR11,2018,5008.0
Imovel Dialogo,"821,61 m2","Alameda Fernão Cardim, 70 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2024,821.61
Imóvel Clarion,"77,42 m2","Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP",1.0,0.0,0.0,0.0,APTO11,2024,77.42
Imóvel IT Home,"120,56 m2","Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP",1.0,0.0,0.0,0.0,APTO11,2024,120.56
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2024,124.62
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2024,124.62
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2024,124.62
Imovel Dialogo,"821,61 m2","Alameda Fernão Cardim, 70 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2023,821.61
Imóvel Clarion,"77,42 m2","Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP",1.0,0.0,0.0,0.0,APTO11,2023,77.42
Imóvel IT Home,"120,56 m2","Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP",1.0,0.0,0.0,0.0,APTO11,2023,120.56
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2023,124.62
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2023,124.62
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2023,124.62
Imovel Dialogo,"821,61 m2","Alameda Fernão Cardim, 70 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2022,821.61
Imovel Dialogo,"821,61 m2","Alameda Fernão Cardim, 70 – Jardim Paulista – Estado
de São Paulo",1.0,0.0,0.0,0.0,APTO11,2021,821.61
CANINDÉ,"21.200,00 m2","Avenida Luciano Magalhães esquina com a Rua José Félix da Silva,663-Canindé-CE",1.0,0.0,0.0,0.0,AROA11,2024,21200.0
MARACANAU,"24.359,64 m2","Rodovia Doutor Mendel Steinbruch,S/N-Maracanaú-CE",1.0,0.0,0.0,0.0,AROA11,2024,24359.64
ARACATI,"20.000,00 m2","Rua Dragão do Mar,S/N-Aracati-CE",1.0,0.0,0.0,0.0,AROA11,2024,20000.0
