Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
ARRI11,4T2021,3.613,514,0,0,2.716,383
ARRI11,4T2023,3.069,-699,0,0,3.682,86
ASMT11,1T2022,864,-364,0,532,446,251
ASMT11,1T2023,-467,-425,0,432,-558,83
ASMT11,1T2024,137,-399,0,767,-242,11
ASMT11,2T2022,-333,-405,0,-729,584,217
ASMT11,2T2023,629,-444,0,386,634,53
ASMT11,2T2024,366,-410,0,910,-172,37
ASMT11,3T2022,1.278,-439,0,1.128,372,218
ASMT11,3T2023,366,-388,0,1.084,-386,56
ASMT11,4T2022,-2.059,-449,0,-5.134,3.408,116
ASMT11,4T2023,7.593,-395,0,8.730,-740,-2
ATSA11,1T2018,742,-276,0,994,0,24
ATSA11,1T2019,1.791,-259,0,2.030,0,20
ATSA11,1T2020,86,-336,0,413,8,0
ATSA11,1T2021,-370,-272,0,-108,0,10
ATSA11,1T2022,799,-159,0,921,0,37
ATSA11,1T2023,419,-191,0,541,0,69
ATSA11,1T2024,93,-152,0,219,0,26
ATSA11,2T2018,748,-296,0,1.020,0,24
ATSA11,2T2019,1.554,-260,0,1.788,0,26
ATSA11,2T2020,-750,-297,0,-457,0,5
ATSA11,2T2021,-1.001,-277,0,-738,0,13
ATSA11,2T2022,1.107,-133,0,1.192,0,48
ATSA11,2T2023,15,-191,0,148,0,58
ATSA11,2T2024,1.470,-158,0,1.606,0,22
ATSA11,3T2018,755,-260,0,991,0,25
ATSA11,3T2019,2.111,-274,0,2.362,0,23
ATSA11,3T2020,-285,-288,0,2,0,1
ATSA11,3T2021,443,-272,0,698,0,17
ATSA11,3T2022,1.198,-150,0,1.273,0,75
ATSA11,3T2023,207,-173,0,328,0,52
ATSA11,4T2018,-29.087,-279,0,-28.833,0,26
ATSA11,4T2019,7.055,-336,0,7.378,0,13
ATSA11,4T2020,-19.802,-270,0,-19.533,0,2
ATSA11,4T2021,-17.506,-324,0,-17.205,0,23
ATSA11,4T2023,-10.198,-152,0,-10.087,0,41
BARI11,1T2019,366,-74,0,0,419,22
BARI11,1T2020,-508,-1.517,0,0,451,558
BARI11,1T2021,13.166,-3.714,0,0,16.322,557
BARI11,1T2022,16.441,-2.306,0,0,18.093,654
BARI11,1T2023,16.228,-1.611,-8,0,17.250,597
BARI11,1T2024,220,-1.458,0,-8,1.013,673
BARI11,2T2019,2.774,-416,0,0,3.118,72
BARI11,2T2021,15.236,-3.986,0,0,18.334,888
BARI11,2T2022,22.270,-3.644,-15,0,23.849,2.079
BARI11,2T2023,17.217,-1.585,-6,0,18.390,418
BARI11,2T2024,1.624,-1.435,0,-10,2.420,649
BARI11,3T2019,2.405,-534,0,0,2.854,84
BARI11,3T2020,6.843,-2.056,0,0,8.822,77
BARI11,3T2021,18.075,-3.862,0,0,21.283,654
