Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
RCFF11,4T2023,"0,21%","8,81%","1,27%",0%,20,"0,97","33,09 M","323,2 K",90,"102,39",0%,"32,00 M","12,18 K"
RCRB11,1T2019,"0,32%","0,55%","0,00%",0%,0,"0,00","371,31 M","2,2 M",8.209,"171,11",10%,"0,00","0,00"
RCRB11,1T2020,"0,25%","4,87%","2,65%",0%,1.456,"0,76","590,03 M","3,0 M",20.778,"198,22",11%,"446,50 M","2,22 M"
RCRB11,1T2021,"0,18%","3,45%","9,09%",1%,1.263,"0,81","727,37 M","3,7 M",28.904,"197,08",16%,"590,81 M","724,43 K"
RCRB11,1T2022,"0,18%","1,08%","8,61%",0%,885,"0,65","723,22 M","3,7 M",29.562,"195,96",27%,"472,96 M","791,16 K"
RCRB11,1T2023,"0,13%","1,62%","8,64%",0%,957,"0,52","769,57 M","3,7 M",29.967,"208,52",24%,"401,51 M","475,32 K"
RCRB11,1T2024,"0,18%","3,17%","6,17%",0%,1.261,"0,79","759,05 M","3,7 M",34.501,"205,66",3%,"596,16 M","859,23 K"
RCRB11,2T2019,"0,23%","0,59%","0,00%",0%,0,"0,00","371,86 M","2,2 M",9.797,"171,36",14%,"0,00","0,00"
RCRB11,2T2020,"0,23%","1,69%","4,42%",0%,550,"0,90","589,28 M","3,0 M",20.527,"197,97",11%,"532,82 M","1,39 M"
RCRB11,2T2021,"0,19%","3,63%","9,72%",2%,1.464,"0,70","730,92 M","3,7 M",29.877,"198,05",16%,"513,01 M","828,86 K"
RCRB11,2T2022,"0,15%","0,88%","8,18%",0%,1.041,"0,65","718,53 M","3,7 M",29.829,"194,69",27%,"465,69 M","587,05 K"
RCRB11,2T2023,"0,15%","1,82%","6,64%",0%,1.204,"0,69","767,84 M","3,7 M",28.595,"208,05",21%,"530,65 M","679,86 K"
RCRB11,2T2024,"0,19%","2,31%","7,07%",0%,1.335,"0,72","756,27 M","3,7 M",35.144,"204,91",1%,"541,42 M","940,10 K"
RCRB11,3T2019,"0,22%","12,36%","0,00%",0%,0,"0,00","373,18 M","2,2 M",13.515,"171,97",12%,"0,00","0,00"
RCRB11,3T2020,"0,20%","21,95%","7,01%",0%,662,"0,90","587,69 M","3,0 M",25.974,"197,43",15%,"526,81 M","1,10 M"
RCRB11,3T2021,"0,18%","1,63%","8,42%",3%,771,"0,73","716,83 M","3,7 M",30.003,"194,23",20%,"524,08 M","491,12 K"
RCRB11,3T2022,"0,16%","1,02%","6,68%",0%,1.025,"0,75","727,64 M","3,7 M",30.419,"197,16",36%,"542,42 M","728,91 K"
RCRB11,3T2023,"0,16%","2,59%","6,19%",0%,1.437,"0,74","771,29 M","3,7 M",31.711,"208,98",15%,"568,37 M","909,36 K"
RCRB11,4T2019,"0,25%","13,13%","0,36%",0%,1.368,"1,36","590,40 M","3,0 M",20.297,"198,34",12%,"803,73 M","2,29 M"
RCRB11,4T2020,"0,22%","9,75%","8,76%",0%,702,"0,84","730,66 M","3,7 M",27.815,"197,97",15%,"613,39 M","703,80 K"
RCRB11,4T2021,"0,22%","1,91%","8,69%",3%,950,"0,72","716,62 M","3,7 M",30.061,"194,17",34%,"513,01 M","541,36 K"
RCRB11,4T2022,"0,15%","1,64%","7,05%",0%,1.023,"0,61","765,22 M","3,7 M",30.564,"207,34",25%,"469,09 M","538,57 K"
RCRB11,4T2023,"0,19%","2,38%","5,92%",0%,1.228,"0,78","758,90 M","3,7 M",31.468,"205,62",5%,"594,20 M","1,26 M"
RECT11,1T2020,"2,03%","20,12%","18,12%",0%,838,"0,92","534,56 M","5,4 M",14.777,"98,38",9%,"491,74 M","2,38 M"
RECT11,1T2021,"1,19%","16,68%","24,65%",1%,1.993,"0,93","768,36 M","8,2 M",68.223,"93,94",23%,"711,60 M","2,73 M"
RECT11,1T2024,"0,29%","0,24%","12,45%",0%,842,"0,47","785,42 M","8,5 M",65.035,"91,93",5%,"366,43 M","548,73 K"
RECT11,2T2021,"1,23%","0,79%","22,61%",0%,2.767,"0,83","761,02 M","8,2 M",76.666,"93,04",29%,"629,89 M","2,44 M"
RECT11,2T2022,"1,50%","0,16%","13,78%",0%,1.417,"0,59","789,12 M","8,2 M",78.347,"96,48",7%,"469,49 M","720,08 K"
RECT11,2T2023,"0,31%","0,32%","14,36%",0%,1.455,"0,56","790,08 M","8,5 M",74.010,"92,48",4%,"443,32 M","610,34 K"
RECT11,2T2024,"0,30%","0,22%","13,76%",0%,814,"0,38","785,47 M","8,5 M",61.003,"91,94",5%,"298,00 M","466,60 K"
RECT11,3T2020,"1,56%","5,12%","28,85%",0%,2.233,"1,01","670,96 M","7,0 M",42.410,"96,21",8%,"677,51 M","2,99 M"
