Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/02/2020,271,"6.160.772,79",MCCI11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,20/08/2021,246,"3.737.344,65",MCCI11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,43276,21,"97.957.174,87",MCCI11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,43665,41,"94.949.912,73",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44330,392,"73.581.948,45",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44071,313,"48.449.167,00",MCCI11,2021
RB SEC COMPANHIA DE SECURITIZAÇÃO,02.773.542/0001-22,43819,239,"47.024.521,22",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43798,178,"46.720.497,64",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43811,181,"41.472.709,60",MCCI11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,43294,29,"41.416.627,44",MCCI11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,43080,18,"38.629.276,97",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44267,374,"33.921.559,22",MCCI11,2021
RB SEC COMPANHIA DE SECURITIZAÇÃO,02.773.542/0001-22,43985,265,"32.604.632,49",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44176,195,"30.755.879,13",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43819,183,"28.916.658,85",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44071,311,"25.889.472,84",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44193,221,"25.042.328,33",MCCI11,2021
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,44316,41,"21.110.604,23",MCCI11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,44322,203,"20.792.868,44",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44174,220,"20.732.524,72",MCCI11,2021
RB SEC COMPANHIA DE SECURITIZAÇÃO,02.773.542/0001-22,43893,266,"20.299.774,80",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,43889,271,"19.653.021,56",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44298,376,"19.491.059,22",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44319,257,"16.905.029,14",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44319,257,"16.905.029,14",MCCI11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,43756,229,"14.016.733,73",MCCI11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,43783,54,"13.065.534,72",MCCI11,2021
RB SEC COMPANHIA DE SECURITIZAÇÃO,02.773.542/0001-22,43829,224,"6.864.826,26",MCCI11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44063,188,"1.500.426,59",MCCI11,2021
ISEC SECURITIZADORA SA,08.769.451/0001-08,43665,41,"94.510.541,40",MCCI11,2020
ISEC SECURITIZADORA SA,08.769.451/0001-08,43276,21,"88.450.338,20",MCCI11,2020
RB CAPITAL COMPANHIA DE SECURITIZACAO,02.773.542/0001-22,44071,313,"66.370.447,84",MCCI11,2020
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43080,18,"50.028.874,90",MCCI11,2020
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43798,178,"43.633.577,65",MCCI11,2020
RB CAPITAL COMPANHIA DE SECURITIZACAO,02.773.542/0001-22,43819,239,"41.002.040,87",MCCI11,2020
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43811,181,"40.152.210,68",MCCI11,2020
ISEC SECURITIZADORA SA,08.769.451/0001-08,43294,29,"39.828.715,06",MCCI11,2020
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44071,311,"38.686.452,60",MCCI11,2020
ISEC SECURITIZADORA SA,08.769.451/0001-08,43985,265,"33.544.277,84",MCCI11,2020
RB CAPITAL COMPANHIA DE SECURITIZACAO,02.773.542/0001-22,43829,224,"32.000.528,76",MCCI11,2020
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,43889,271,"28.741.537,73",MCCI11,2020
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,43819,183,"27.011.993,74",MCCI11,2020
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44176,195,"26.919.378,85",MCCI11,2020
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,44193,221,"26.087.055,35",MCCI11,2020
RB CAPITAL COMPANHIA DE SECURITIZACAO,02.773.542/0001-22,43893,266,"22.977.318,63",MCCI11,2020
ISEC SECURITIZADORA SA,08.769.451/0001-08,43783,54,"12.815.350,99",MCCI11,2020
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,44063,188,"1.502.840,03",MCCI11,2020
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1,224,"36.887.163,68",MCHF11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,22,"13.158.122,05",MCHF11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1,415,"10.170.400,51",MCHF11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,30/12/2019,224,"35.972.392,77",MCHF11,2022
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,09/11/2021,415,"18.602.968,37",MCHF11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,25/06/2018,22,"14.066.043,17",MCHF11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,09/12/2020,220,"9.701.122,92",MCHF11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,15/12/2019,247,"1.477.973,76",MCHF11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,252,1,"55.902.705,87",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,284,1,"55.759.743,71",MCHY11,2024
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,55,1,"48.205.320,94",MCHY11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,19,"43.347.971,47",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,318,1,"43.263.775,49",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,319,1,"43.263.775,49",MCHY11,2024
