Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Papel,Nome do fundo,CNPJ,Valor,Emissão,Série
BTLG - Embu | SP,"30.592,23 m2","Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150",2,"0,00%","0,00%","2,88%",BTLG11,2023,,,,,,
BTLG - Santa Luzia | MG,"16.120,50 m2","Avenida Beirario, 5777, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260",1,"0,00%","0,00%","2,40%",BTLG11,2023,,,,,,
BTLG - Cotia | SP,"7.538,31 m2","Estrada Do Capuava, 1000, Sem Complemento, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725",1,"0,00%","0,00%","2,26%",BTLG11,2023,,,,,,
BTLG - Extrema | MG,"38.000,00 m2","Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000",1,"0,00%","0,00%","2,20%",BTLG11,2023,,,,,,
BTLG - Santana de Parnaíba | SP,"18.940,00 m2","Avenida Charles Goodyear, S/n, Cururuquara, Santana De Parnaiba/SP, Brasil, 06524-115",1,"0,00%","0,00%","2,19%",BTLG11,2023,,,,,,
BTLG - Feira de Santana | BA,"11.295,00 m2","Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000",1,"0,00%","0,00%","1,58%",BTLG11,2023,,,,,,
BTLG - Guarulhos | SP,"20.247,60 m2","Rua Dona Catharina Maria De Jesus, 400, Bonsucesso, Guarulhos/SP, Brasil, 07175-500",2,"0,00%","0,00%","1,57%",BTLG11,2023,,,,,,
BTLG - Hortolândia | SP,"36.024,37 m2","Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546",2,"0,00%","0,00%","1,42%",BTLG11,2023,,,,,,
BTLG - Dutra | SP,"19.349,00 m2","Rua Sargento Rodoval Cabral Trindade 780, 780, 36º Subdistrito - Vila Maria, Parque Novo Mundo, Sao Paulo/SP, Brasil, 02190-900",1,"0,00%","0,00%","1,12%",BTLG11,2023,,,,,,
BTLG - Camçari | BA,"4.415,29 m2","Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, S/n, Cep: 42849-000, Polo Logístico, Camacari/BA, Brasil, 42800-331",1,"0,00%","0,00%","0,95%",BTLG11,2023,,,,,,
BTLG - Faria Lima| SP,"1.499,00 m2","Avenida Brigadeiro Faria Lima, 186, Pinheiros, Sao Paulo/SP, Brasil, 05426-200",1,"0,00%","0,00%","0,94%",BTLG11,2023,,,,,,
BTLG - Campinas | SP,"1.999,00 m2","Rua Ronald Cladstone Negri, 557, Polo De Alta Tecnologia De Campinas Polo I, Campinas/SP, Brasil, 13069-472",1,"0,00%","0,00%","0,78%",BTLG11,2023,,,,,,
BTLG - Cabreuva | SP,"31.241,00 m2","Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000",2,"8,00%","0,00%","0,74%",BTLG11,2023,,,,,,
BTLG - Navegantes | SC,"9.749,00 m2","Rodovia Br470, 04, Machados, Navegantes/SC, Brasil, 88373-330",1,"0,00%","0,00%","0,56%",BTLG11,2023,,,,,,
BTLG - Dutra | RJ,"17.244,00 m2","Estrada Rio Douro, 800, Mantiquira, Duque De Caxias/RJ, Brasil, 25245-810",1,"0,00%","0,00%","0,00%",BTLG11,2023,,,,,,
BTLG Cajamar I | SP,"78.639,38 m2","Avenida Doutor Antonio Joao Abdalla, 3945, Empresarial Colina, Cajamar/SP, Brasil, 07750-020",1,"0,00%","0,00%","0,00%",BTLG11,2023,,,,,,
BTLG Cajamar III | SP,"57.153,00 m2","Avenida Doutor Antonio Joao Abdalla, 2010, Empresarial Colina, Cajamar/SP, Brasil, 07750-020",1,"0,00%","0,00%","0,00%",BTLG11,2023,,,,,,
BTLG Campinas - Dom Pedro | SP,"99.592,00 m2","Estrada Municipal Jose Sedano, 854, Residencial Quilombo Ii, Campinas/SP, Brasil, 13069-387",5,"0,00%","0,00%","0,00%",BTLG11,2023,,,,,,
BTLG - Jundiai | SP,"88.894,76 m2","Avenida Francisco Roveri, S/n, Parque Almerinda Pereira Chaves, Jundiai/SP, Brasil, 13212-541",17,"0,00%","0,00%","10,94%",BTLG11,2022,,,,,,
BTLG Fortaleza | CE,"23.274,00 m2","Br 116, 2271, Verife, Itaitinga/CE, Brasil, 61880-000",1,"0,00%","0,00%","7,62%",BTLG11,2022,,,,,,
BLTG - Ribeirão Preto | SP,"57.143,00 m2","Rodovia Anhanguera, S/n, Km 308, Parque Residencial Candido Portinari, Ribeirao Preto/SP, Brasil, 14093-500",15,"5,00%","0,00%","6,44%",BTLG11,2022,,,,,,
BTLG - Aracatuba | SP,"26.783,00 m2","Rodovia Marechal Rondon, Km 536, 21500, Avenida, Aracatuba/SP, Brasil, 16027-231",1,"0,00%","0,00%","4,52%",BTLG11,2022,,,,,,
BTLG - Dutra | SP,"19.415,00 m2","Largo De Santana, 780, Santana, Sao Paulo/SP, Brasil, 02402-003",1,"0,00%","0,00%","3,92%",BTLG11,2022,,,,,,
BTLG - Maua | SP,"88.774,00 m2","Avenida Alberto Soares Sampaio, S/n, Capuava, Maua/SP, Brasil, 09380-000",14,"0,00%","0,00%","3,82%",BTLG11,2022,,,,,,
BTLG - Embu | SP,"30.592,23 m2","Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150",16,"0,00%","0,00%","3,78%",BTLG11,2022,,,,,,
BTLG - Cotia | SP,"7.538,31 m2","Estrada Do Capuava, 1000, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725",1,"0,00%","0,00%","3,44%",BTLG11,2022,,,,,,
BTLG - Extrema | MG,"12.200,00 m2","Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 00037-640",1,"0,00%","0,00%","3,19%",BTLG11,2022,,,,,,
BTLG - Hortolândia | SP,"36.024,00 m2","Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546",22,"0,00%","0,00%","2,79%",BTLG11,2022,,,,,,
BTLG - Guarulhos | SP,"20.247,60 m2","Rua Dona Catharina Maria De Jesus, 400, Bonsucesso, Guarulhos/SP, Brasil, 07175-500",10,"0,00%","0,00%","2,46%",BTLG11,2022,,,,,,
BTLG - Santa Luzia | MG,"16.120,50 m2","Avenida Beirario, 5777, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260",1,"0,00%","0,00%","2,46%",BTLG11,2022,,,,,,
BTLG - Cabreuva | SP,"20.000,00 m2","Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000",3,"0,00%","0,00%","2,35%",BTLG11,2022,,,,,,
BTLG - Feira de Santana | BA,"11.295,00 m2","Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000",1,"0,00%","0,00%","1,67%",BTLG11,2022,,,,,,
BTLG - Camçari | BA,"4.415,29 m2","Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, Polo Logístico, Camacari/BA, Brasil, 42800-331",1,"0,00%","0,00%","1,48%",BTLG11,2022,,,,,,
BTLG - Faria Lima| SP,"1.499,00 m2","Avenida Brigadeiro Faria Lima, 186, Pinheiros, Sao Paulo/SP, Brasil, 05426-200",1,"0,00%","0,00%","1,33%",BTLG11,2022,,,,,,
BTLG - Campinas | SP,"1.999,00 m2","Rua Ronald Cladstone Negri, 557, Polo De Alta Tecnologia De Campinas Polo I, Campinas/SP, Brasil, 13069-472",1,"0,00%","0,00%","1,19%",BTLG11,2022,,,,,,
BTLG - Navegantes | SC,"9.794,00 m2","Rodovia Br470, 04, Machados, Navegantes/SC, Brasil, 88373-330",1,"0,00%","0,00%","0,45%",BTLG11,2022,,,,,,
BTLG - Santana de Parnaíba | SP,"18.940,00 m2","Avenida Charles Goodyear, S/n, Cururuquara, Santana De Parnaiba/SP, Brasil, 06524-115",1,"0,00%","0,00%","0,00%",BTLG11,2022,,,,,,
BTLG - Dutra | RJ,"17.244,00 m2","Estrada Rio Douro, 800, Mantiquira, Duque De Caxias/RJ, Brasil, 25245-810",1,"0,00%","100,00%","0,00%",BTLG11,2022,,,,,,
Galpão Ribeirao Preto,"57.164,04 m2","Rodovia Anhanguera KM 308, Ribeirão Preto, SP, 14093-500",15,"0,00%","0,00%","12,04%",BTLG11,2021,,,,,,
Galpao Itaitinga - BRF Fortaleza,"23.274,00 m2","Rodovia BR 116 2271, Itaitinga, CE, 61880-000",1,"0,00%","0,00%","11,93%",BTLG11,2021,,,,,,
