Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Papel,Nome do fundo,CNPJ,Valor,Emissão,Série
BTLG - Jundiai,"100.028,00 m2","Avenida Francisco Roveri s/n, Galpão Jundiaí, Jundiaí, SP, 13212-541",9,"0,00%","0,00%","9,95%",BTLG11,2021,,,,,,
Galpao Aracatuba,"26.783,00 m2","Rodovia Marechal Rondon 21500, Araçatuba, SP, 16027-231",1,"0,00%","0,00%","6,15%",BTLG11,2021,,,,,,
Galpao Castelo Branco,"18.940,00 m2","Avenida Charles Goodyear s/n, Santana de Parnaiba, SP, 6524-115",1,"0,00%","0,00%","6,00%",BTLG11,2021,,,,,,
BTLG Regis,"30.592,23 m2","Estrada Ferreira Guedes, 784, Sem Complemento, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150",16,"0,00%","0,00%","5,67%",BTLG11,2021,,,,,,
Galpao Industrial - Cerrati Vinhedo,"7.401,00 m2","Rodovia Miguel Melhado Campos 324, Vinhedo, SP, 13053-090",1,"0,00%","0,00%","4,83%",BTLG11,2021,,,,,,
Galpao Industrial - Femsa Parque Novo Mundo,"19.415,00 m2","Rua Sargento Rodoval Cabral Trindade 780, São Paulo, SP, 02402-003",1,"0,00%","0,00%","3,82%",BTLG11,2021,,,,,,
BTLG Hortolandia,"36.024,37 m2","Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546",22,"36,00%","0,00%","2,92%",BTLG11,2021,,,,,,
BTLG Guarulhos,"20.247,60 m2","Rua Dona Catharina Maria De Jesus, 400, Sem Complemento, Bonsucesso, Guarulhos/SP, Brasil, 07175-500",10,"0,00%","0,00%","2,69%",BTLG11,2021,,,,,,
Galpao Industrial - Magna Vinhedo,"5.578,00 m2","Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",1,"0,00%","0,00%","1,64%",BTLG11,2021,,,,,,
Galpao Insdustrial - Koch Navegantes,"9.794,00 m2","Rodovia BR 470 km 3,5, Navegantes, SC, 88371-240",1,"0,00%","0,00%","0,65%",BTLG11,2021,,,,,,
Galpão Industrial Itaitinga,"23.274,00 m2","Rodovia BR 116 2271, , Itaitinga, CE, 61880-000",1,"0,00%","0,00%","12,08%",BTLG11,2020,,,,,,
Galpão Industrail Femsa,"19.415,00 m2","Rua Sargento Rodoval Cabral Trindade 780, São Paulo, SP, 02402-003",1,"0,00%","0,00%","6,82%",BTLG11,2020,,,,,,
Galpão Industrial Ceratti,"13.852,00 m2","Rodovia Miguel Melhado Campos 79, , Vinhedo, SP, 13288-003",1,"0,00%","0,00%","5,29%",BTLG11,2020,,,,,,
Galpão Industrial Itambé,"8.058,00 m2","Rua Jerônimo Teles Junior 54, Pirituba, SP, 04154-010",1,"0,00%","0,00%","3,88%",BTLG11,2020,,,,,,
Galpão Industrial Supermarket,"17.244,00 m2","Estrada Rio DOuro 800, , Pavuna, RJ, 21535-030",1,"0,00%","0,00%","2,48%",BTLG11,2020,,,,,,
Galpão Industrial Magna,"10.440,00 m2","Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",1,"0,00%","0,00%","1,64%",BTLG11,2020,,,,,,
Galpão Industrail Koch,"9.794,00 m2","Rodovia BR 470 km 3,5, Navegantes, SC, 88371-240",1,"0,00%","0,00%","0,83%",BTLG11,2020,,,,,,
