Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
ABCP11,3/2020,9.410,1.044.001,0,5,12.734,0,1.021.481,0,1.315,1.438,1.042.563,37,12.729,86,0,1.021.481,0,0,9.786,0
ABCP11,3/2021,12.116,1.080.565,0,7,8.778,0,1.056.637,0,1.438,2.844,1.077.721,1.317,8.771,90,0,1.056.637,0,0,15.150,0
ABCP11,3/2022,15.439,1.129.622,0,10,19.792,0,1.093.309,0,1.305,8.202,1.121.420,6.811,19.783,87,0,1.093.309,0,0,16.521,0
ABCP11,3/2023,5.592,435.438,0,6,7.117,0,420.946,0,1.083,3.614,431.825,2.433,7.111,97,0,420.946,0,0,7.375,0
ABCP11,3/2024,5.394,480.281,0,6,7.559,0,465.436,0,344,2.903,477.377,2.463,7.554,97,0,465.436,0,0,7.286,0
ABCP11,4/2017,5.901,690.115,0,291,8.469,0,674.020,0,1.021,9.127,680.989,8.050,8.178,57,0,674.020,0,0,7.626,0
ABCP11,4/2018,6.482,790.592,0,34,8.196,0,774.051,0,213,5.166,785.426,4.887,8.162,65,0,774.051,0,0,8.345,0
ABCP11,4/2019,7.076,912.495,0,5,10.312,0,894.848,0,221,6.959,905.536,6.662,10.306,75,0,894.848,0,0,7.335,0
ABCP11,4/2020,11.213,1.046.505,0,5,12.627,0,1.021.481,0,1.244,1.369,1.045.136,37,12.622,87,0,1.021.481,0,0,12.397,0
ABCP11,4/2021,11.355,1.080.169,0,8,8.156,0,1.056.263,0,1.355,2.126,1.078.043,707,8.148,64,0,1.056.263,0,0,15.750,0
ABCP11,4/2022,15.785,1.130.586,0,10,20.320,0,1.093.309,0,1.216,9.939,1.120.647,8.637,20.310,87,0,1.093.309,0,0,16.957,0
ABCP11,4/2023,5.803,435.894,0,6,6.752,0,420.946,0,1.083,3.615,432.279,2.435,6.746,97,0,420.946,0,0,8.196,0
ABCP11,4/2024,5.449,480.339,0,5,7.215,0,465.436,0,358,2.778,477.561,2.323,7.210,97,0,465.436,0,0,7.688,0
