Ticker,Title,Endereço,Bairro,Cidade,Área Bruta Locável
ALZR11,APTIV Espirito Santo do Pinhal,Rodovia Governador Dr. Adhemar P. de Barros,,Espírito Santo do Pinhal - SP,"18.591,00 m2"
ALZR11,Pueri Domus - Perdizes,Rua Ministro Godói,Perdizes,São Paulo - SP,"8.016,00 m2"
ALZR11,OBA Hortifruti - CD Sumare,Avenida Américo Ribeiro dos Santos,Área Cura,Sumaré - SP,"33.795,13 m2"
ALZR11,OBA Hortifruti - SBC,Avenida Francisco Prestes Maia,Santa Terezinha,São Bernardo do Campo - SP,"4.428,00 m2"
ALZR11,OBA Hortifruti - SJRP,Avenida Pres. Juscelino Kubitschek Oliveira,São José do Rio Preto,São José do Rio Preto - SP,"2.722,00 m2"
ANCR11B,CNB - CONJUNTO NACIONAL BRASILIA,Conjunto A,Asa Norte,Brasília - DF,"37.890,08 m2"
ANCR11B,SNI - SHOPPING NOVA IGUACU,Avenida Abílio Augusto Távora,Luz,Nova Iguaçu - RJ,"45.760,87 m2"
ANCR11B,MNS - MINAS SHOPPING,Avenida Cristiano Machado,União,Belo Horizonte - MG,"50.508,89 m2"
ANCR11B,BPS - BOTAFOGO PRAIA SHOPPING,Praia de Botafogo,Botafogo,Rio de Janeiro - RJ,"15.988,99 m2"
ANCR11B,CVS - CENTER VALE SHOPPING,Avenida Deputado Benedito Matarazzo,Jardim Oswaldo Cruz,São José dos Campos - SP,"48.968,29 m2"
ANCR11B,NAT - NATAL SHOPPING,Avenida Senador Salgado Filho,Candelária,Natal - RN,"1,00 m2"
ANCR11B,NSF - NORTH SHOPPING FORTALEZA,Avenida Bezerra de Menezes,Presidente Kennedy,Fortaleza - CE,"1,00 m2"
APTO11,Imóvel IT Home,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390,,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390 - SP,"120,56 m2"
APTO11,Imovel Dialogo,Alameda Fernão Cardim,Jardim Paulista,São Paulo - SP,"821,61 m2"
APTO11,Imóvel Clarion,Rua Jerônimo da Veiga nº 248,,Rua Jerônimo da Veiga nº 248 - SP,"77,42 m2"
APTO11,Edição Jardins,Alameda Fernão Cardim,Jardim Paulista,São Paulo - SP,"124,62 m2"
APXM11,Shopping Vitoria,Avenida Américo Buaiz,Enseada do Suá,Vitória - ES,"87.829,53 m2"
AQLL11,AQLL Queimados,Rodovia Presidente Dutra,,Queimados - RJ,"116.446,84 m2"
AQLL11,AQLL Queimados,Rodovia Presidente Dutra,,Queimados - RJ,"109.619,53 m2"
AQLL11,INDUSTRIAL,Rua Otávio Paulino,Ponto Chic,Nova Iguaçu - RJ,N/A m2
AQLL11,LOG TAUBATÉ,Avenida Arcênio Riemma,Una,Taubaté - SP,N/A m2
ARFI11B,ARFI11B Queimados,Rodovia Presidente Dutra,,Queimados - RJ,"109.619,53 m2"
ARFI11B,ARFI11B Queimados,Rua Cirene de Moraes Costa,Três Fontes,Queimados - RJ,"170.682,34 m2"
ARFI11B,AQ3 Industrial - Nova Iguaçu,Rua Otávio Paulino,Ponto Chic,Nova Iguaçu - RJ,"23.000,00 m2"
ARFI11B,AQ3 LOG Taubaté,Avenida Arcênio Riemma,Una,Taubaté - SP,"11.985,00 m2"
AROA11,AROA Fortaleza,Avenida Doutor Silas Munguba,Parangaba,Fortaleza - CE,"22.000,00 m2"
AROA11,MARANGUAPE,"Avenida Comandante Aviador Childerico Mora,S/N-Maranguape-CE",,"Avenida Comandante Aviador Childerico Mora,S/N-Maranguape-CE - Maranguape","21.945,75 m2"
AROA11,CANINDÉ,Rua Doutor Luciano Magalhães,Riacho São Francisco,Canindé - CE,"21.200,00 m2"
AROA11,MARACANAU,Rodovia Doutor Mendel Steinbruch,Distrito Industrial do Ceará,Maracanaú - CE,"24.359,64 m2"
AROA11,ARACATI,Rua Dragão do Mar,Centro,Aracati - CE,"20.000,00 m2"
AROA11,QUIXERAMOBIM,Rua Dr. Antônio Pinto de Mendona,Quixeramobim,Quixeramobim - CE,"20.000,00 m2"
ASMT11,Edificio Souza Aranha I,Avenida Alfredo Egídio de Souza Aranha,Vila Cruzeiro,São Paulo - SP,"2.660,07 m2"
ASMT11,Edificio Souza Aranha II,Avenida Alfredo Egídio de Souza Aranha,Vila Cruzeiro,São Paulo - SP,"4.757,87 m2"
ASMT11,Imovel Porto Alegre,Avenida Independência,Independência,Porto Alegre - RS,"5.594,12 m2"
ASRF11,EDIFÍCIO E. CARDOSO,Rua José Antônio Coelho,Vila Mariana,São Paulo - SP,"1.695,40 m2"
ASRF11,EDIFÍCIO A. CARDOSO,Rua José Antônio Coelho,Vila Mariana,São Paulo - SP,"4.324,89 m2"
ATCR11,Charitas,Loja Com ercial situada na Rua Murilo Portugal,,Loja Com ercial situada na Rua Murilo Portugal - RJ,"90,00 m2"
ATCR11,Rodrigo Silva,Rua Rodrigo S ilva,,Rua Rodrigo S ilva - RJ,"640,00 m2"
ATCR11,Condado de Cascais,Sala Comercial na A v. Armando Lombardi,,Sala Comercial na A v. Armando Lombardi - RJ,"104,00 m2"
ATCR11,CAJAMAR,Galpão Industrial/Predio e seu respctivo terreno,,Galpão Industrial/Predio e seu respctivo terreno - SP,"4.942,00 m2"
ATCR11,São Joaquim,Galpão Indus trial /Comercial e seu respectivo terreno sito à Rua Coronel Antônio Leal,,Galpão Indus trial /Comercial e seu respectivo terreno sito à Rua Coronel Antônio Leal - RJ,"2.400,00 m2"
ATCR11,Libero loja,Loja situad a na Rua Libero Badaró,,Loja situad a na Rua Libero Badaró - SP,"270,45 m2"
ATCR11,Indaiatuba,Terreno e G alpão Comercial/Industrial Rua Eduardo Borsari,,Terreno e G alpão Comercial/Industrial Rua Eduardo Borsari - SP,"12.054,33 m2"
ATCR11,Imóvel RB 115,Av. Rio Branco,,Av. Rio Branco - RJ,"541,00 m2"
ATCR11,Duque de Caxias,Rodovia Washington Luíz,Gramacho,Duque de Caxias - RJ,"8.566,89 m2"
ATCR11,LIBERO,Rua Líbero Badaró,Sé,São Paulo - SP,"291,33 m2"
ATSA11,Atrium Shopping Santo André - 100%,Rua Giovanni Batista Pirelli,Capuava,Santo André - SP,"33.223,44 m2"
ATWN11,IMOVEL BDS,Avenida Monteiro Lobato,Cumbica,Guarulhos - SP,"146,67 m2"
AURB11,UrbanHub Guarulhos,Estrada da Olaria,Pimentas,Guarulhos - SP,"21.128,56 m2"
AURB11,UrbanHub Maua,Avenida Papa João XXIII,,Mauá - SP,"54.126,33 m2"
BARI11,MAT - 179.771,Rua Princesa Isabel,Brooklin Paulista,São Paulo - SP,"112,91 m2"
BARI11,MAT - 179.776,Rua Princesa Isabel,Brooklin Paulista,São Paulo - SP,"112,91 m2"
BBFI11B,CARJ - Rio de Janeiro,Rua Barao De Sao Francisco,,Rua Barao De Sao Francisco - 031,"40.176,00 m2"
BBFI11B,Sede I - Antenas,SIG Quadra 3,Asa Sul,Brasília - DF,"40,40 m2"
BBFI11B,Sede I - Brasilia,CLS 107 Bloco E,Asa Sul,Brasília - DF,"46.175,40 m2"
BBPO11,AG. PC.RUI BARBOSA-BAURU,Praça Rui Barbosa,,Praça Rui Barbosa - SP,"4.085,67 m2"
BBPO11,AG. CASA VERDE,Rua Baroré,Casa Verde,São Paulo - SP,"2.268,37 m2"
BBPO11,AG. JUIZ DE FORA,Rua Halfeld,,Juiz de Fora - MG,"6.587,20 m2"
BBPO11,AG. SANTANA,Rua Voluntários da Pátria,,,"2.061,96 m2"
BBPO11,AG. GENERAL VALADAO,Rua General Valadão,Centro,Itabaiana - SE,"6.077,92 m2"
BBPO11,AG. BONFIM,Avenida Governador Pedro de Toledo,Centro,Campinas - SP,"8.170,67 m2"
BBPO11,AG. CAMPOS GOYTACAZES,Praça das 4 Jornadas,,,"7.322,74 m2"
BBPO11,AG. CENTRO - SOROCABA(SP),Rua XV de Novembro,,,"6.614,50 m2"
BBPO11,AG. RIBEIRAO PRETO SP,Rua Duque de Caxias,,,"3.642,79 m2"
BBPO11,AG PASSO FUNDO,Rua Bento Gonçalves,Rio Grande,Rio Grande - RS,"4.526,26 m2"
BBPO11,AG. ZONA SUL,Avenida Nossa Senhora de Copacabana,,Rio de Janeiro - RJ,"2.062,03 m2"
BBPO11,Agência Manaus,Rua Guilherme Moreira,Fátima,Fortaleza - CE,"9.269,63 m2"
BBPO11,AG. PCA XV NOVEMBRO/BESC,Praça XV de Novembro,,,"3.663,99 m2"
BBPO11,AG. ALDEOTA,Av.Santos Dumont,,,"5.476,78 m2"
BBPO11,AG. AFONSO PENA,Av. Afonso Pena,,,"8.103,28 m2"
BBPO11,AG CAXIAS SUL,Rua Marquês do Herval,Centro,Caxias do Sul - RS,"5.778,75 m2"
BBPO11,AG. CARIJOS,Rua Espírito Santo,,Vila Nova de Famalicão - MG,"5.407,00 m2"
BBPO11,AG. CAMPINAS,Rua da Costa,,Aguiar da Beira - SP,"5.981,84 m2"
